"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 13:40:02 IST 2023","Tue Nov 14 13:40:03 IST 2023","1126","Default Suite","My_FrameworK","org.example.Full_Crud.Integration","org.example.Full_Crud.Integration","GetBooking","GetBooking",""
"passed","Tue Nov 14 13:40:00 IST 2023","Tue Nov 14 13:40:02 IST 2023","2222","Default Suite","My_FrameworK","org.example.Full_Crud.Integration","org.example.Full_Crud.Integration","DeleteBooking","DeleteBooking",""
"passed","Tue Nov 14 13:39:35 IST 2023","Tue Nov 14 13:39:54 IST 2023","19229","Default Suite","My_FrameworK","org.example.Full_Crud.Integration","org.example.Full_Crud.Integration","CreateBooking","CreateBooking",""
"passed","Tue Nov 14 13:39:55 IST 2023","Tue Nov 14 13:39:57 IST 2023","2688","Default Suite","My_FrameworK","org.example.Full_Crud.Integration","org.example.Full_Crud.Integration","UpdateBooking","UpdateBooking",""
"passed","Tue Nov 14 13:39:57 IST 2023","Tue Nov 14 13:40:00 IST 2023","2363","Default Suite","My_FrameworK","org.example.Full_Crud.Integration","org.example.Full_Crud.Integration","PatchBooking","PatchBooking",""
